interface_id,kind,label,method,path_or_interface,data_type,package,field_count,fields_json,usage_count,modules,relationships,verified_example_ids,verified_phases,source_evidence,standalone_doc
http:DELETE /api/assistant/conversations/{conversation_id},http_endpoint,DELETE /api/assistant/conversations/{conversation_id},DELETE,/api/assistant/conversations/{conversation_id},,,0,[],2,Browser UI; FastAPI Adapter,Browser UI: resetAssistantConversation; FastAPI Adapter: handled by reset_conversation,,,src/c2_imugs2/api/routers.py:313,http/delete-api-assistant-conversations-conversation-id.md
http:DELETE /api/map/features/{feature_id},http_endpoint,DELETE /api/map/features/{feature_id},DELETE,/api/map/features/{feature_id},,,0,[],2,Browser UI; FastAPI Adapter,Browser UI: deleteMapFeature; FastAPI Adapter: handled by delete_map_feature,,,src/c2_imugs2/api/app.py:288,http/delete-api-map-features-feature-id.md
http:DELETE /api/missions/{mission_id},http_endpoint,DELETE /api/missions/{mission_id},DELETE,/api/missions/{mission_id},,,0,[],2,Browser UI; FastAPI Adapter,Browser UI: forgetMission; FastAPI Adapter: handled by forget,,,src/c2_imugs2/api/routers.py:209,http/delete-api-missions-mission-id.md
http:GET /api/agents,http_endpoint,GET /api/agents,GET,/api/agents,,,0,[],1,FastAPI Adapter,FastAPI Adapter: handled by agents,canonical_agent,robot discovery,src/c2_imugs2/api/app.py:346,http/get-api-agents.md
http:GET /api/assistant/operational-picture,http_endpoint,GET /api/assistant/operational-picture,GET,/api/assistant/operational-picture,,,0,[],1,FastAPI Adapter,FastAPI Adapter: handled by operational_picture,,,src/c2_imugs2/api/routers.py:260,http/get-api-assistant-operational-picture.md
http:GET /api/assistant/status,http_endpoint,GET /api/assistant/status,GET,/api/assistant/status,,,0,[],2,Browser UI; FastAPI Adapter,Browser UI: getAssistantStatus; FastAPI Adapter: handled by assistant_status,,,src/c2_imugs2/api/routers.py:256,http/get-api-assistant-status.md
http:GET /api/contracts,http_endpoint,GET /api/contracts,GET,/api/contracts,,,0,[],2,Browser UI; FastAPI Adapter,Browser UI: getContracts; FastAPI Adapter: handled by contracts,,,src/c2_imugs2/api/app.py:212,http/get-api-contracts.md
http:GET /api/diagnostics,http_endpoint,GET /api/diagnostics,GET,/api/diagnostics,,,0,[],2,Browser UI; FastAPI Adapter,Browser UI: getDiagnostics; FastAPI Adapter: handled by diagnostics,,,src/c2_imugs2/api/app.py:186,http/get-api-diagnostics.md
http:GET /api/events,http_endpoint,GET /api/events,GET,/api/events,,,0,[],1,FastAPI Adapter,FastAPI Adapter: handled by events,,,src/c2_imugs2/api/app.py:399,http/get-api-events.md
http:GET /api/health,http_endpoint,GET /api/health,GET,/api/health,,,0,[],1,FastAPI Adapter,FastAPI Adapter: handled by health,,,src/c2_imugs2/api/app.py:170,http/get-api-health.md
http:GET /api/legacy/trace,http_endpoint,GET /api/legacy/trace,GET,/api/legacy/trace,,,0,[],2,Browser UI; FastAPI Adapter,Browser UI: getLegacyTrace; FastAPI Adapter: handled by legacy_trace,,,src/c2_imugs2/api/app.py:225,http/get-api-legacy-trace.md
http:GET /api/map/features,http_endpoint,GET /api/map/features,GET,/api/map/features,,,0,[],1,FastAPI Adapter,FastAPI Adapter: handled by map_features,,,src/c2_imugs2/api/app.py:267,http/get-api-map-features.md
http:GET /api/map/osm-roads,http_endpoint,GET /api/map/osm-roads,GET,/api/map/osm-roads,,,0,[],2,Browser UI; FastAPI Adapter,Browser UI: getOsmRoads; FastAPI Adapter: handled by osm_roads,,,src/c2_imugs2/api/app.py:316,http/get-api-map-osm-roads.md
http:GET /api/mission-examples,http_endpoint,GET /api/mission-examples,GET,/api/mission-examples,,,0,[],2,Browser UI; FastAPI Adapter,Browser UI: getMissionExamples; FastAPI Adapter: handled by mission_examples,,,src/c2_imugs2/api/app.py:382,http/get-api-mission-examples.md
http:GET /api/missions/{mission_id},http_endpoint,GET /api/missions/{mission_id},GET,/api/missions/{mission_id},,,0,[],2,Browser UI; FastAPI Adapter,Browser UI: getMissionState; FastAPI Adapter: handled by get_mission,,,src/c2_imugs2/api/routers.py:187,http/get-api-missions-mission-id.md
http:GET /api/planning/diagnostics,http_endpoint,GET /api/planning/diagnostics,GET,/api/planning/diagnostics,,,0,[],2,Browser UI; FastAPI Adapter,Browser UI: getPlanningDiagnostics; FastAPI Adapter: handled by planning_diagnostics,,,src/c2_imugs2/api/app.py:205,http/get-api-planning-diagnostics.md
http:GET /api/runtime/bootstrap,http_endpoint,GET /api/runtime/bootstrap,GET,/api/runtime/bootstrap,,,0,[],2,Browser UI; FastAPI Adapter,Browser UI: getRuntimeBootstrap; FastAPI Adapter: handled by runtime_bootstrap,,,src/c2_imugs2/api/app.py:466,http/get-api-runtime-bootstrap.md
http:GET /api/scenarios,http_endpoint,GET /api/scenarios,GET,/api/scenarios,,,0,[],2,Browser UI; FastAPI Adapter,Browser UI: getScenarios; FastAPI Adapter: handled by catalog,,,src/c2_imugs2/api/routers.py:219,http/get-api-scenarios.md
http:GET /api/scenarios/active,http_endpoint,GET /api/scenarios/active,GET,/api/scenarios/active,,,0,[],2,Browser UI; FastAPI Adapter,Browser UI: getActiveScenario; FastAPI Adapter: handled by active,,,src/c2_imugs2/api/routers.py:226,http/get-api-scenarios-active.md
http:POST /api/assistant/messages,http_endpoint,POST /api/assistant/messages,POST,/api/assistant/messages,,,0,[],2,Browser UI; FastAPI Adapter,Browser UI: sendAssistantMessage; FastAPI Adapter: handled by send_message,,,src/c2_imugs2/api/routers.py:278,http/post-api-assistant-messages.md
http:POST /api/map/features,http_endpoint,POST /api/map/features,POST,/api/map/features,,,0,[],2,Browser UI; FastAPI Adapter,Browser UI: createMapFeature; FastAPI Adapter: handled by create_map_feature,,,src/c2_imugs2/api/app.py:274,http/post-api-map-features.md
http:POST /api/map/osm-roads/query,http_endpoint,POST /api/map/osm-roads/query,POST,/api/map/osm-roads/query,,,0,[],2,Browser UI; FastAPI Adapter,Browser UI: queryOsmRoads; FastAPI Adapter: handled by query_osm_roads,,,src/c2_imugs2/api/app.py:320,http/post-api-map-osm-roads-query.md
http:POST /api/missions/init,http_endpoint,POST /api/missions/init,POST,/api/missions/init,,,0,[],2,Browser UI; FastAPI Adapter,Browser UI: initMission; FastAPI Adapter: handled by init_mission,canonical_mission_config,INIT,src/c2_imugs2/api/routers.py:180,http/post-api-missions-init.md
http:POST /api/missions/{mission_id}/approve,http_endpoint,POST /api/missions/{mission_id}/approve,POST,/api/missions/{mission_id}/approve,,,0,[],2,Browser UI; FastAPI Adapter,Browser UI: approveMission; FastAPI Adapter: handled by approve,approve_http,APPROVE,src/c2_imugs2/api/routers.py:195,http/post-api-missions-mission-id-approve.md
http:POST /api/missions/{mission_id}/start,http_endpoint,POST /api/missions/{mission_id}/start,POST,/api/missions/{mission_id}/start,,,0,[],2,Browser UI; FastAPI Adapter,Browser UI: startMission; FastAPI Adapter: handled by start,start_http,START,src/c2_imugs2/api/routers.py:202,http/post-api-missions-mission-id-start.md
http:POST /api/scenarios/activate,http_endpoint,POST /api/scenarios/activate,POST,/api/scenarios/activate,,,0,[],2,Browser UI; FastAPI Adapter,Browser UI: launchScenario; FastAPI Adapter: handled by activate,,,src/c2_imugs2/api/routers.py:231,http/post-api-scenarios-activate.md
http:POST /api/scenarios/launch,http_endpoint,POST /api/scenarios/launch,POST,/api/scenarios/launch,,,0,[],1,FastAPI Adapter,FastAPI Adapter: handled by activate,,,src/c2_imugs2/api/routers.py:231,http/post-api-scenarios-launch.md
http:POST /api/testing/reset-legacy-runtime,http_endpoint,POST /api/testing/reset-legacy-runtime,POST,/api/testing/reset-legacy-runtime,,,0,[],2,Browser UI; FastAPI Adapter,Browser UI: resetLegacyRuntime; FastAPI Adapter: handled by reset_legacy_runtime,,,src/c2_imugs2/api/app.py:256,http/post-api-testing-reset-legacy-runtime.md
http:PUT /api/map/features/{feature_id},http_endpoint,PUT /api/map/features/{feature_id},PUT,/api/map/features/{feature_id},,,0,[],2,Browser UI; FastAPI Adapter,Browser UI: updateMapFeature; FastAPI Adapter: handled by update_map_feature,,,src/c2_imugs2/api/app.py:300,http/put-api-map-features-feature-id.md
schema:agent_profile.schema.json,json_schema,AgentProfile,,schemas/agent_profile.schema.json,,,7,"[{""name"":""agent_id"",""type"":""string"",""section"":""required""},{""name"":""name"",""type"":""string"",""section"":""optional""},{""name"":""vehicle_type"",""type"":""string"",""section"":""optional""},{""name"":""status"",""type"":""string"",""section"":""optional""},{""name"":""current_location"",""type"":""array"",""section"":""required""},{""name"":""constraints"",""type"":""object"",""section"":""optional""},{""name"":""capabilities"",""type"":""array"",""section"":""optional""}]",0,,,agent_profile,robot discovery,schemas/agent_profile.schema.json:1,schemas/agent-profile.md
schema:map_feature.schema.json,json_schema,MapFeature,,schemas/map_feature.schema.json,,,5,"[{""name"":""feature_id"",""type"":""string"",""section"":""required""},{""name"":""name"",""type"":""string"",""section"":""optional""},{""name"":""feature_type"",""type"":""string"",""section"":""required""},{""name"":""geometry"",""type"":""object"",""section"":""required""},{""name"":""properties"",""type"":""object"",""section"":""optional""}]",0,,,,,schemas/map_feature.schema.json:1,schemas/map-feature.md
schema:mission_config.schema.json,json_schema,MissionConfig,,schemas/mission_config.schema.json,,,10,"[{""name"":""schema_version"",""type"":""string"",""section"":""optional""},{""name"":""mission_id"",""type"":""string"",""section"":""required""},{""name"":""phase"",""type"":""integer"",""section"":""optional""},{""name"":""name"",""type"":""string"",""section"":""optional""},{""name"":""behavior"",""type"":""integer"",""section"":""required""},{""name"":""vehicles"",""type"":""array"",""section"":""required""},{""name"":""start"",""type"":""object"",""section"":""optional""},{""name"":""transit"",""type"":""object"",""section"":""optional""},{""name"":""objective"",""type"":""object"",""section"":""required""},{""name"":""mission_end_time"",""type"":""string"",""section"":""optional""}]",0,,,canonical_mission_config,INIT,schemas/mission_config.schema.json:1,schemas/mission-config.md
schema:task_plan.schema.json,json_schema,TaskPlan,,schemas/task_plan.schema.json,,,2,"[{""name"":""mission_id"",""type"":""string"",""section"":""required""},{""name"":""tasks"",""type"":""object"",""section"":""required""}]",0,,,task_plan_excerpt,plan retrieval,schemas/task_plan.schema.json:1,schemas/task-plan.md
ros:service:/multi_robot/planner/create,ros_service,/multi_robot/planner/create,,/multi_robot/planner/create,centralized_msgs/srv/CreatePlanner,,6,"[{""section"":""request"",""type"":""string"",""name"":""id""},{""section"":""request"",""type"":""uint8"",""name"":""priority""},{""section"":""request"",""type"":""Agent[]"",""name"":""agents""},{""section"":""request"",""type"":""string"",""name"":""config""},{""section"":""response"",""type"":""string"",""name"":""id""},{""section"":""response"",""type"":""uint8"",""name"":""state""}]",2,Centralized Coordination; Legacy Planner,Centralized Coordination: calls; Legacy Planner: provides,planner_create,planning,backend/fog/centralized-coordination/src/centralized_coordination/src/mission_manager.cpp:56; backend/fog/planner/ros2ws/src/planner/planner/planner_node.py:141,ros-services/multi-robot-planner-create.md
ros:service:/multi_robot/planner/delete_planner,ros_service,/multi_robot/planner/delete_planner,,/multi_robot/planner/delete_planner,centralized_msgs/srv/DeletePlanner,,3,"[{""section"":""request"",""type"":""string"",""name"":""id""},{""section"":""response"",""type"":""string"",""name"":""id""},{""section"":""response"",""type"":""uint8"",""name"":""state""}]",1,Legacy Planner,Legacy Planner: provides,,,backend/fog/planner/ros2ws/src/planner/planner/planner_node.py:147,ros-services/multi-robot-planner-delete-planner.md
ros:service:/multi_robot/planner/get_plan,ros_service,/multi_robot/planner/get_plan,,/multi_robot/planner/get_plan,centralized_msgs/srv/GetPlan,,3,"[{""section"":""request"",""type"":""string"",""name"":""id""},{""section"":""response"",""type"":""string"",""name"":""id""},{""section"":""response"",""type"":""string"",""name"":""plan""}]",2,Centralized Coordination; Legacy Planner,Centralized Coordination: calls; Legacy Planner: provides,get_plan,plan retrieval,backend/fog/centralized-coordination/src/centralized_coordination/src/mission_manager.cpp:53; backend/fog/planner/ros2ws/src/planner/planner/planner_node.py:144,ros-services/multi-robot-planner-get-plan.md
ros:service:/multi_robot/planner/set_agents,ros_service,/multi_robot/planner/set_agents,,/multi_robot/planner/set_agents,centralized_msgs/srv/UpdatePlannerAgents,,3,"[{""section"":""request"",""type"":""string"",""name"":""id""},{""section"":""request"",""type"":""Agent[]"",""name"":""agents""},{""section"":""response"",""type"":""string"",""name"":""id""}]",1,Centralized Coordination,Centralized Coordination: calls,,,backend/fog/centralized-coordination/src/centralized_coordination/src/mission_manager.cpp:59,ros-services/multi-robot-planner-set-agents.md
ros:service:multi_robot/cmd,ros_service,multi_robot/cmd,,multi_robot/cmd,std_srvs::srv::Trigger,,0,[],1,Centralized Coordination,Centralized Coordination: provides,,,backend/fog/centralized-coordination/src/centralized_coordination/src/orchestrator_node.cpp:70,ros-services/multi-robot-cmd.md
ros:service:multi_robot/delete_mission,ros_service,multi_robot/delete_mission,,multi_robot/delete_mission,c2_msgs/srv/ChangeMissionStatus,,5,"[{""section"":""request"",""type"":""unique_identifier_msgs/UUID"",""name"":""mission_id""},{""section"":""request"",""type"":""uint8"",""name"":""mission_request_status""},{""section"":""response"",""type"":""unique_identifier_msgs/UUID"",""name"":""mission_id""},{""section"":""response"",""type"":""uint8"",""name"":""mission_status""},{""section"":""response"",""type"":""string<=2000"",""name"":""error_message""}]",2,Centralized Coordination,Centralized Coordination: calls; Centralized Coordination: provides,,,backend/fog/centralized-coordination/src/centralized_coordination/src/mission_manager.cpp:84; backend/fog/centralized-coordination/src/centralized_coordination/src/orchestrator_node.cpp:48,ros-services/multi-robot-delete-mission.md
ros:service:multi_robot/edge/agent_{agent_id}/add_task,ros_service,multi_robot/edge/agent_{agent_id}/add_task,,multi_robot/edge/agent_{agent_id}/add_task,task_msgs/srv/AddTask,,7,"[{""section"":""request"",""type"":""string"",""name"":""task_id""},{""section"":""request"",""type"":""uint8"",""name"":""task_type""},{""section"":""request"",""type"":""bool"",""name"":""override""},{""section"":""request"",""type"":""string<=1048576"",""name"":""task_config""},{""section"":""request"",""type"":""string"",""name"":""std""},{""section"":""response"",""type"":""string"",""name"":""task_id""},{""section"":""response"",""type"":""uint8"",""name"":""task_state""}]",2,Edge Supervisor; Fleet Manager,Edge Supervisor: provides; Fleet Manager: calls,add_task,APPROVE,backend/edge/agent-tasks-supervisor/ros2ws/src/agent_tasks_supervisor/src/agent_tasks_supervisor_node.cpp:89; backend/fog/centralized-coordination/src/centralized_coordination/src/fleet_manager_node.cpp:339,ros-services/multi-robot-edge-agent-agent-id-add-task.md
ros:service:multi_robot/edge/agent_{agent_id}/change_state,ros_service,multi_robot/edge/agent_{agent_id}/change_state,,multi_robot/edge/agent_{agent_id}/change_state,task_msgs/srv/ChangeState,,3,"[{""section"":""request"",""type"":""uint8"",""name"":""requested_state""},{""section"":""response"",""type"":""uint8"",""name"":""state""},{""section"":""response"",""type"":""string<=1024"",""name"":""feedback""}]",2,Edge Supervisor; Fleet Manager,Edge Supervisor: provides; Fleet Manager: calls,,,backend/edge/agent-tasks-supervisor/ros2ws/src/agent_tasks_supervisor/src/agent_tasks_supervisor_node.cpp:92; backend/fog/centralized-coordination/src/centralized_coordination/src/fleet_manager_node.cpp:340,ros-services/multi-robot-edge-agent-agent-id-change-state.md
ros:service:multi_robot/edge/agent_{agent_id}/change_task_state,ros_service,multi_robot/edge/agent_{agent_id}/change_task_state,,multi_robot/edge/agent_{agent_id}/change_task_state,task_msgs/srv/ChangeTaskState,,5,"[{""section"":""request"",""type"":""string"",""name"":""task_id""},{""section"":""request"",""type"":""uint8"",""name"":""task_requested_state""},{""section"":""response"",""type"":""string"",""name"":""task_id""},{""section"":""response"",""type"":""uint8"",""name"":""task_state""},{""section"":""response"",""type"":""string<=1024"",""name"":""feedback""}]",2,Edge Supervisor; Fleet Manager,Edge Supervisor: provides; Fleet Manager: calls,,,backend/edge/agent-tasks-supervisor/ros2ws/src/agent_tasks_supervisor/src/agent_tasks_supervisor_node.cpp:95; backend/fog/centralized-coordination/src/centralized_coordination/src/fleet_manager_node.cpp:341,ros-services/multi-robot-edge-agent-agent-id-change-task-state.md
ros:service:multi_robot/edge/agent_{agent_id}/cmd,ros_service,multi_robot/edge/agent_{agent_id}/cmd,,multi_robot/edge/agent_{agent_id}/cmd,std_srvs::srv::Trigger,,0,[],1,Edge Supervisor,Edge Supervisor: provides,,,backend/edge/agent-tasks-supervisor/ros2ws/src/agent_tasks_supervisor/src/agent_tasks_supervisor_node.cpp:101,ros-services/multi-robot-edge-agent-agent-id-cmd.md
ros:service:multi_robot/fleet_manager/change_mission_status,ros_service,multi_robot/fleet_manager/change_mission_status,,multi_robot/fleet_manager/change_mission_status,c2_msgs/srv/ChangeMissionStatus,,5,"[{""section"":""request"",""type"":""unique_identifier_msgs/UUID"",""name"":""mission_id""},{""section"":""request"",""type"":""uint8"",""name"":""mission_request_status""},{""section"":""response"",""type"":""unique_identifier_msgs/UUID"",""name"":""mission_id""},{""section"":""response"",""type"":""uint8"",""name"":""mission_status""},{""section"":""response"",""type"":""string<=2000"",""name"":""error_message""}]",2,Centralized Coordination; Fleet Manager,Centralized Coordination: calls; Fleet Manager: provides,approve_status_ros; start_status_ros,APPROVE; START,backend/fog/centralized-coordination/src/centralized_coordination/src/mission_manager.cpp:93; backend/fog/centralized-coordination/src/centralized_coordination/src/fleet_manager_node.cpp:64,ros-services/multi-robot-fleet-manager-change-mission-status.md
ros:service:multi_robot/fleet_manager/get_agents,ros_service,multi_robot/fleet_manager/get_agents,,multi_robot/fleet_manager/get_agents,centralized_msgs/srv/GetAgents,,3,"[{""section"":""request"",""type"":""unique_identifier_msgs/UUID[]"",""name"":""agent_id_list""},{""section"":""response"",""type"":""centralized_msgs/Agent[]"",""name"":""agents""},{""section"":""response"",""type"":""string<=2000"",""name"":""error_message""}]",2,Centralized Coordination; Fleet Manager,Centralized Coordination: calls; Fleet Manager: provides,get_agents,planning,backend/fog/centralized-coordination/src/centralized_coordination/src/mission_manager.cpp:87; backend/fog/centralized-coordination/src/centralized_coordination/src/fleet_manager_node.cpp:60,ros-services/multi-robot-fleet-manager-get-agents.md
ros:service:multi_robot/fleet_manager/send_tasks,ros_service,multi_robot/fleet_manager/send_tasks,,multi_robot/fleet_manager/send_tasks,c2_msgs/srv/InitMission,,4,"[{""section"":""request"",""type"":""unique_identifier_msgs/UUID"",""name"":""mission_id""},{""section"":""request"",""type"":""string<=10000"",""name"":""mission_config""},{""section"":""response"",""type"":""unique_identifier_msgs/UUID"",""name"":""mission_id""},{""section"":""response"",""type"":""string<=10000"",""name"":""mission_feedback""}]",2,Centralized Coordination; Fleet Manager,Centralized Coordination: calls; Fleet Manager: provides,send_tasks,APPROVE,backend/fog/centralized-coordination/src/centralized_coordination/src/mission_manager.cpp:90; backend/fog/centralized-coordination/src/centralized_coordination/src/fleet_manager_node.cpp:62,ros-services/multi-robot-fleet-manager-send-tasks.md
ros:service:multi_robot/mission_{mission_id}/cmd,ros_service,multi_robot/mission_{mission_id}/cmd,,multi_robot/mission_{mission_id}/cmd,std_srvs::srv::Trigger,,0,[],1,Centralized Coordination,Centralized Coordination: provides,,,backend/fog/centralized-coordination/src/centralized_coordination/src/mission_manager.cpp:149,ros-services/multi-robot-mission-mission-id-cmd.md
ros:service:multi_robot/mission_{mission_id}/environment_change,ros_service,multi_robot/mission_{mission_id}/environment_change,,multi_robot/mission_{mission_id}/environment_change,std_srvs::srv::Trigger,,0,[],2,Centralized Coordination,Centralized Coordination: calls; Centralized Coordination: provides,,,backend/fog/centralized-coordination/src/centralized_coordination/src/mission_manager.cpp:78; backend/fog/centralized-coordination/src/centralized_coordination/src/orchestrator_node.cpp:419,ros-services/multi-robot-mission-mission-id-environment-change.md
ros:service:multi_robot/mission_{mission_id}/mission_status_change,ros_service,multi_robot/mission_{mission_id}/mission_status_change,,multi_robot/mission_{mission_id}/mission_status_change,c2_msgs/srv/ChangeMissionStatus,,5,"[{""section"":""request"",""type"":""unique_identifier_msgs/UUID"",""name"":""mission_id""},{""section"":""request"",""type"":""uint8"",""name"":""mission_request_status""},{""section"":""response"",""type"":""unique_identifier_msgs/UUID"",""name"":""mission_id""},{""section"":""response"",""type"":""uint8"",""name"":""mission_status""},{""section"":""response"",""type"":""string<=2000"",""name"":""error_message""}]",2,Centralized Coordination,Centralized Coordination: calls; Centralized Coordination: provides,,,backend/fog/centralized-coordination/src/centralized_coordination/src/mission_manager.cpp:75; backend/fog/centralized-coordination/src/centralized_coordination/src/orchestrator_node.cpp:418,ros-services/multi-robot-mission-mission-id-mission-status-change.md
ros:service:multi_robot/mission_{mission_id}/vehicle_change,ros_service,multi_robot/mission_{mission_id}/vehicle_change,,multi_robot/mission_{mission_id}/vehicle_change,std_srvs::srv::Trigger,,0,[],2,Centralized Coordination,Centralized Coordination: calls; Centralized Coordination: provides,,,backend/fog/centralized-coordination/src/centralized_coordination/src/mission_manager.cpp:81; backend/fog/centralized-coordination/src/centralized_coordination/src/orchestrator_node.cpp:420,ros-services/multi-robot-mission-mission-id-vehicle-change.md
ros:service:multi_robot/planner/delete,ros_service,multi_robot/planner/delete,,multi_robot/planner/delete,centralized_msgs/srv/DeletePlanner,,3,"[{""section"":""request"",""type"":""string"",""name"":""id""},{""section"":""response"",""type"":""string"",""name"":""id""},{""section"":""response"",""type"":""uint8"",""name"":""state""}]",1,Centralized Coordination,Centralized Coordination: calls,,,backend/fog/centralized-coordination/src/centralized_coordination/src/orchestrator_node.cpp:42,ros-services/multi-robot-planner-delete.md
ros:topic:/multi_robot/change_mission_status_request,ros_topic,/multi_robot/change_mission_status_request,,/multi_robot/change_mission_status_request,c2_msgs/msg/ChangeMissionStatusRequest,,2,"[{""section"":""message"",""type"":""unique_identifier_msgs/UUID"",""name"":""mission_id""},{""section"":""message"",""type"":""uint8"",""name"":""mission_request_status""}]",2,Centralized Coordination; Old REST Bridge,Centralized Coordination: subscribes; Old REST Bridge: publishes,approve_status_ros; start_status_ros,APPROVE; START,backend/fog/command-control/src/backend/ros2-rest-api/ros2_ws/src/c2_ros2_rest_api/src/c2_rest.cpp:58; backend/fog/centralized-coordination/src/centralized_coordination/src/c2_interface_node.cpp:57,ros-topics/multi-robot-change-mission-status-request.md
